"x","y","t","zt","zt1"
262500,3722500,1996,0.04,0
267500,3722500,1996,0.017,0
272500,3722500,1996,0.035,0
382500,3722500,1996,0.026,0
387500,3722500,1996,0.09,0
392500,3722500,1996,0.037,0
517500,3722500,1996,0.021,0
702500,3722500,1996,0.018,0
707500,3722500,1996,0.05,0
712500,3722500,1996,0.4,0
717500,3722500,1996,0.048,0
727500,3722500,1996,0.496,0
732500,3722500,1996,0.823,0
737500,3722500,1996,0.744,0
742500,3722500,1996,0.788,0
747500,3722500,1996,0.531,0
752500,3722500,1996,1.026,0
757500,3722500,1996,0.85,0.031
762500,3722500,1996,0.787,0.038
767500,3722500,1996,1.238,0
772500,3722500,1996,0.985,0
777500,3722500,1996,0.037,0
782500,3722500,1996,0.019,0
787500,3722500,1996,0.034,0
792500,3722500,1996,0.09,0.048
797500,3722500,1996,0.341,0.101
802500,3722500,1996,0.465,0.218
807500,3722500,1996,0.601,0.323
812500,3722500,1996,0.47,0.114
817500,3722500,1996,0.425,0.253
852500,3722500,1996,0.495,1.001
857500,3722500,1996,0.401,0.658
862500,3722500,1996,0.405,0.659
382500,3727500,1996,0.029,0
387500,3727500,1996,0.141,0
392500,3727500,1996,0.047,0
512500,3727500,1996,0.055,0
517500,3727500,1996,0.213,0
522500,3727500,1996,0.025,0
612500,3727500,1996,0.019,0
617500,3727500,1996,0.082,0
622500,3727500,1996,0.031,0
697500,3727500,1996,0.028,0
702500,3727500,1996,0.275,0
707500,3727500,1996,0.026,0
712500,3727500,1996,0.072,0
717500,3727500,1996,0.275,0
722500,3727500,1996,0.151,0
727500,3727500,1996,0.691,0
732500,3727500,1996,0.718,0
737500,3727500,1996,0.89,0
742500,3727500,1996,0.67,0
747500,3727500,1996,1.044,0
752500,3727500,1996,1.131,0
757500,3727500,1996,0.201,0
762500,3727500,1996,0.186,0.017
767500,3727500,1996,0.646,0
772500,3727500,1996,0.451,0
777500,3727500,1996,0.274,0
782500,3727500,1996,0.333,0
787500,3727500,1996,0.048,0
792500,3727500,1996,0.064,0
797500,3727500,1996,0.259,0.052
802500,3727500,1996,0.287,0.127
807500,3727500,1996,0.496,0.217
812500,3727500,1996,0.228,0.074
817500,3727500,1996,0.256,0.055
822500,3727500,1996,0.197,0
857500,3727500,1996,0.271,0.469
862500,3727500,1996,0.266,0.41
247500,3732500,1996,0.019,0
387500,3732500,1996,0.02,0
442500,3732500,1996,0.023,0
512500,3732500,1996,0.029,0
517500,3732500,1996,0.073,0
522500,3732500,1996,0.017,0
612500,3732500,1996,0.025,0
617500,3732500,1996,0.159,0
622500,3732500,1996,0.038,0
652500,3732500,1996,0.017,0
682500,3732500,1996,0.019,0
687500,3732500,1996,0.091,0
692500,3732500,1996,0.04,0
702500,3732500,1996,0.03,0
707500,3732500,1996,0.023,0
712500,3732500,1996,0.014,0
717500,3732500,1996,0.123,0
722500,3732500,1996,0.346,0
727500,3732500,1996,0.17,0
732500,3732500,1996,0.186,0
737500,3732500,1996,0.72,0
742500,3732500,1996,1.443,0
747500,3732500,1996,1.873,0
752500,3732500,1996,1.289,0
757500,3732500,1996,0.443,0.034
762500,3732500,1996,0.39,0.115
767500,3732500,1996,0.715,0.018
772500,3732500,1996,0.731,0
777500,3732500,1996,1.286,0
782500,3732500,1996,1.707,0
787500,3732500,1996,0.388,0.018
792500,3732500,1996,0.198,0.024
797500,3732500,1996,0.267,0.019
802500,3732500,1996,0.077,0.032
807500,3732500,1996,0.082,0.125
812500,3732500,1996,0.201,0.034
817500,3732500,1996,0.165,0
822500,3732500,1996,0.688,0
827500,3732500,1996,1.268,0
832500,3732500,1996,1.026,0
852500,3732500,1996,0.205,0.703
857500,3732500,1996,0.244,0.849
862500,3732500,1996,0.197,0.938
437500,3737500,1996,0.026,0
442500,3737500,1996,0.167,0
617500,3737500,1996,0.023,0
647500,3737500,1996,0.072,0
652500,3737500,1996,0.107,0
677500,3737500,1996,0.019,0
682500,3737500,1996,0.266,0
687500,3737500,1996,0.203,0
692500,3737500,1996,0.131,0
707500,3737500,1996,0.032,0
712500,3737500,1996,0.218,0
717500,3737500,1996,0.187,0
722500,3737500,1996,0.22,0
727500,3737500,1996,0.447,0
732500,3737500,1996,0.156,0
737500,3737500,1996,0.28,0.045
742500,3737500,1996,0.465,0.066
747500,3737500,1996,1.468,0
752500,3737500,1996,1.608,0
757500,3737500,1996,0.727,0.055
762500,3737500,1996,0.952,0.265
767500,3737500,1996,0.77,0.036
772500,3737500,1996,1.283,0
777500,3737500,1996,1.066,0
782500,3737500,1996,1.239,0
787500,3737500,1996,0.525,0.049
792500,3737500,1996,0.171,0.252
797500,3737500,1996,0.09,0.026
802500,3737500,1996,0.057,0.024
807500,3737500,1996,0.078,0.214
812500,3737500,1996,0.164,0.036
817500,3737500,1996,0.258,0.019
822500,3737500,1996,1.211,0.033
827500,3737500,1996,1.086,0.209
832500,3737500,1996,0.94,0.524
837500,3737500,1996,0.713,0.61
852500,3737500,1996,0.403,1.772
857500,3737500,1996,0.48,1.448
862500,3737500,1996,0.386,1.611
242500,3742500,1996,0.029,0
247500,3742500,1996,0.097,0.034
252500,3742500,1996,0.063,0.389
392500,3742500,1996,0.018,0
397500,3742500,1996,0.026,0
432500,3742500,1996,0.015,0
437500,3742500,1996,0.014,0
442500,3742500,1996,0.054,0
447500,3742500,1996,0.025,0
517500,3742500,1996,0.076,0
522500,3742500,1996,0.053,0
647500,3742500,1996,0.073,0
652500,3742500,1996,0.097,0
657500,3742500,1996,0.024,0
677500,3742500,1996,0.015,0
682500,3742500,1996,0.061,0
687500,3742500,1996,0.131,0
692500,3742500,1996,0.089,0
707500,3742500,1996,0.044,0
712500,3742500,1996,0.386,0
717500,3742500,1996,0.382,0
722500,3742500,1996,0.177,0
727500,3742500,1996,0.065,0
732500,3742500,1996,0.345,0
737500,3742500,1996,0.456,0.11
742500,3742500,1996,0.097,0.183
747500,3742500,1996,0.646,0
752500,3742500,1996,1.085,0
757500,3742500,1996,0.874,0.112
762500,3742500,1996,2.351,0.193
767500,3742500,1996,3.037,0.054
772500,3742500,1996,2.562,0.034
777500,3742500,1996,0.457,0
782500,3742500,1996,0.932,0
787500,3742500,1996,0.461,0.021
792500,3742500,1996,0.086,0.08
797500,3742500,1996,0.552,0.042
802500,3742500,1996,0.315,0.019
807500,3742500,1996,0.497,0.029
812500,3742500,1996,0.819,0.028
817500,3742500,1996,1.017,0.035
822500,3742500,1996,0.658,0.193
827500,3742500,1996,0.82,0.219
832500,3742500,1996,0.946,0.69
837500,3742500,1996,0.893,0.684
852500,3742500,1996,1.265,2.276
857500,3742500,1996,1.248,2.144
862500,3742500,1996,1.164,2.342
242500,3747500,1996,0.032,0
247500,3747500,1996,0.191,0.011
252500,3747500,1996,0.114,0.324
392500,3747500,1996,0.037,0
397500,3747500,1996,0.365,0
402500,3747500,1996,0.02,0
427500,3747500,1996,0.096,0
432500,3747500,1996,0.093,0
437500,3747500,1996,0.018,0
512500,3747500,1996,0.031,0
517500,3747500,1996,0.239,0
522500,3747500,1996,0.2,0
672500,3747500,1996,0.029,0
677500,3747500,1996,0.187,0
682500,3747500,1996,0.037,0
687500,3747500,1996,0.191,0
692500,3747500,1996,0.245,0
712500,3747500,1996,0.06,0
717500,3747500,1996,0.102,0
722500,3747500,1996,0.076,0.02
727500,3747500,1996,0.065,0
732500,3747500,1996,0.3,0
737500,3747500,1996,0.282,0
742500,3747500,1996,0.063,0.019
747500,3747500,1996,0.067,0
752500,3747500,1996,0.549,0.028
757500,3747500,1996,0.781,0.324
762500,3747500,1996,2.062,0.131
767500,3747500,1996,1.545,0.162
772500,3747500,1996,1.953,0.206
777500,3747500,1996,0.708,0.028
782500,3747500,1996,0.653,0
787500,3747500,1996,0.558,0
792500,3747500,1996,0.88,0
797500,3747500,1996,1.771,0
802500,3747500,1996,0.858,0.059
807500,3747500,1996,0.99,0.085
812500,3747500,1996,1.229,0.053
817500,3747500,1996,1.313,0.023
822500,3747500,1996,0.674,0.152
827500,3747500,1996,1.098,0.481
832500,3747500,1996,0.99,0.874
837500,3747500,1996,1.096,0.799
852500,3747500,1996,1.56,1.766
857500,3747500,1996,1.972,2.027
862500,3747500,1996,2.042,1.956
247500,3752500,1996,0.019,0
252500,3752500,1996,0.02,0
392500,3752500,1996,0.023,0
397500,3752500,1996,0.057,0
427500,3752500,1996,0.08,0
432500,3752500,1996,0.072,0
472500,3752500,1996,0.027,0
477500,3752500,1996,0.01,0
517500,3752500,1996,0.034,0
522500,3752500,1996,0.054,0
562500,3752500,1996,0.119,0
567500,3752500,1996,0.074,0
652500,3752500,1996,0.019,0.022
657500,3752500,1996,0.053,0.094
662500,3752500,1996,0.033,0.024
672500,3752500,1996,0.019,0
677500,3752500,1996,0.04,0
682500,3752500,1996,0.019,0
687500,3752500,1996,0.041,0
692500,3752500,1996,0.111,0
697500,3752500,1996,0.02,0
722500,3752500,1996,0.114,0.25
727500,3752500,1996,0.076,0.244
