"x","y","t","zt","zt1"
302500,4010500,1996,0.943,0.439
307500,4010500,1996,1.385,0.092
312500,4010500,1996,2.493,0.08
317500,4010500,1996,0.686,0.063
322500,4010500,1996,0.221,0.133
327500,4010500,1996,0.363,0.195
332500,4010500,1996,0.801,0.177
337500,4010500,1996,0.527,0.041
342500,4010500,1996,0.279,0
347500,4010500,1996,0.064,0
352500,4010500,1996,0.162,0
357500,4010500,1996,0.244,0
362500,4010500,1996,0.11,0.076
367500,4010500,1996,0.445,0.62
372500,4010500,1996,1.113,0.447
377500,4010500,1996,0.367,0.216
232500,4015500,1996,0.091,0.191
237500,4015500,1996,0.181,0.073
242500,4015500,1996,0.084,0.08
247500,4015500,1996,0.037,0.282
252500,4015500,1996,0.045,0.315
257500,4015500,1996,0.168,0.42
262500,4015500,1996,0.387,0.138
267500,4015500,1996,0.19,0.385
272500,4015500,1996,0.513,1.541
277500,4015500,1996,1.161,2.192
282500,4015500,1996,0.285,0
287500,4015500,1996,0.111,0
292500,4015500,1996,0.273,0
297500,4015500,1996,1.279,0.033
302500,4015500,1996,0.907,0.082
307500,4015500,1996,0.826,0.081
312500,4015500,1996,2.248,0.086
317500,4015500,1996,0.67,0.503
322500,4015500,1996,0.526,0.213
327500,4015500,1996,0.124,0.714
332500,4015500,1996,0.356,0.07
337500,4015500,1996,0.555,0
342500,4015500,1996,0.32,0
347500,4015500,1996,0.16,0
352500,4015500,1996,0.535,0.064
357500,4015500,1996,1.966,0.049
362500,4015500,1996,0.445,0.128
367500,4015500,1996,0.226,0.366
372500,4015500,1996,0.077,0
377500,4015500,1996,0.695,0
232500,4020500,1996,0.059,0.134
237500,4020500,1996,0.052,0.056
242500,4020500,1996,0.032,0.033
247500,4020500,1996,0.071,0.114
252500,4020500,1996,0.321,0.421
257500,4020500,1996,0.244,0.582
262500,4020500,1996,0.897,0.175
267500,4020500,1996,0.775,0.465
272500,4020500,1996,0.582,1.698
277500,4020500,1996,0.85,1.384
282500,4020500,1996,0.165,0.023
287500,4020500,1996,0.569,0.102
292500,4020500,1996,0.354,0
297500,4020500,1996,1.096,0
302500,4020500,1996,0.34,0
307500,4020500,1996,0.385,0
312500,4020500,1996,0.711,0.054
317500,4020500,1996,0.865,0.125
322500,4020500,1996,0.328,0.116
327500,4020500,1996,0.189,0.123
332500,4020500,1996,0.695,0.023
337500,4020500,1996,0.593,0
342500,4020500,1996,0.301,0
347500,4020500,1996,0.134,0
352500,4020500,1996,0.198,0.176
357500,4020500,1996,0.207,0.288
362500,4020500,1996,0.458,0.142
367500,4020500,1996,0.424,0.39
372500,4020500,1996,0.805,0
377500,4020500,1996,2.025,0
247500,4025500,1996,0.07,0.066
252500,4025500,1996,0.236,0.268
257500,4025500,1996,0.244,0.233
262500,4025500,1996,0.677,0.042
267500,4025500,1996,1.612,0.346
272500,4025500,1996,1.339,0.673
277500,4025500,1996,0.413,0.519
282500,4025500,1996,0.288,0.137
287500,4025500,1996,0.565,0.06
292500,4025500,1996,0.319,0.1
297500,4025500,1996,0.424,0.05
302500,4025500,1996,0.237,0
307500,4025500,1996,0.161,0
312500,4025500,1996,0.666,0
317500,4025500,1996,0.796,0.034
322500,4025500,1996,1.093,0.027
327500,4025500,1996,0.577,0.044
332500,4025500,1996,0.759,0.055
337500,4025500,1996,0.996,0.156
342500,4025500,1996,0.337,0.055
347500,4025500,1996,0.646,0.072
352500,4025500,1996,0.144,0.256
357500,4025500,1996,0.143,0.072
362500,4025500,1996,0.949,0.029
367500,4025500,1996,1.303,0.076
372500,4025500,1996,0.742,0.051
377500,4025500,1996,1.23,0.034
247500,4030500,1996,0.225,0
252500,4030500,1996,0.329,0.04
257500,4030500,1996,0.685,0.112
262500,4030500,1996,0.855,0.276
267500,4030500,1996,2.743,0
272500,4030500,1996,1.859,0.307
277500,4030500,1996,0.515,0.522
282500,4030500,1996,0.238,0.167
287500,4030500,1996,0.432,0.17
292500,4030500,1996,0.265,0.41
297500,4030500,1996,0.859,0.074
302500,4030500,1996,0.363,0
307500,4030500,1996,0.436,0
312500,4030500,1996,1.015,0.032
317500,4030500,1996,0.719,0
322500,4030500,1996,0.581,0.039
327500,4030500,1996,0.395,0.086
332500,4030500,1996,0.695,0.484
337500,4030500,1996,0.395,0.144
342500,4030500,1996,0.457,0.031
347500,4030500,1996,0.968,0.055
352500,4030500,1996,0.627,0.133
357500,4030500,1996,0.434,0
362500,4030500,1996,0.973,0.159
367500,4030500,1996,4.408,0.462
372500,4030500,1996,0.989,0.596
377500,4030500,1996,1.91,0.281
242500,4035500,1996,0.071,0.132
247500,4035500,1996,0.505,0.048
252500,4035500,1996,1.167,0.072
257500,4035500,1996,1.067,0.076
262500,4035500,1996,0.967,0.199
267500,4035500,1996,1.239,0
272500,4035500,1996,1.089,0.18
277500,4035500,1996,0.94,0.461
282500,4035500,1996,0.502,0.201
287500,4035500,1996,0.252,0.25
292500,4035500,1996,0.35,0.22
297500,4035500,1996,0.346,0.091
302500,4035500,1996,1.008,0.032
307500,4035500,1996,1.396,0.056
312500,4035500,1996,1.879,0.071
317500,4035500,1996,2.039,0.038
322500,4035500,1996,1.365,0
327500,4035500,1996,1.5,0.101
332500,4035500,1996,0.95,0.23
337500,4035500,1996,2.053,0.231
342500,4035500,1996,1.837,0.022
347500,4035500,1996,1.317,0.023
352500,4035500,1996,1.974,0.041
357500,4035500,1996,1.111,0.091
362500,4035500,1996,1.205,0.263
367500,4035500,1996,3.718,0.449
